employee_id,project_code,date,billed_hours,client_rate
EMP001,ALPHA,2025-07-15,40,175
EMP001,ALPHA,2025-08-20,40,175
EMP001,GAMMA,2025-11-10,25,150
EMP002,ALPHA,2025-07-10,30,175
EMP002,ALPHA,2025-09-05,30,175
EMP002,DELTA,2025-12-01,50,225
EMP003,BETA,2025-07-08,35,200
EMP003,BETA,2025-10-12,45,200
EMP004,BETA,2025-09-15,50,200
EMP005,ALPHA,2025-07-20,20,175
EMP005,ALPHA,2025-08-15,20,175
EMP005,ALPHA,2025-10-10,20,175
EMP006,GAMMA,2025-08-25,60,150
EMP006,GAMMA,2025-11-20,40,150
EMP006,DELTA,2025-10-15,30,225
EMP007,BETA,2025-09-01,40,200
EMP007,BETA,2025-08-01,20,200
EMPXXX,ALPHA,2025-08-10,10,175
EMP001,ALPHA,2025-06-15,20,175
