employee_id,project_code,date,submitted_hours
EMP001,ALPHA,2025-07-15,42
EMP001,ALPHA,2025-08-20,40
EMP001,GAMMA,2025-11-10,25
EMP002,ALPHA,2025-07-10,32
EMP002,ALPHA,2025-09-05,28
EMP002,DELTA,2025-12-01,52
EMP003,BETA,2025-07-08,36
EMP003,BETA,2025-10-12,44
EMP004,BETA,2025-09-15,50
EMP005,ALPHA,2025-07-20,20
EMP005,ALPHA,2025-08-15,22
EMP005,ALPHA,2025-10-10,20
EMP006,GAMMA,2025-08-25,58
EMP006,GAMMA,2025-11-20,42
EMP006,DELTA,2025-10-15,30
EMP007,BETA,2025-09-01,40
EMP007,BETA,2025-08-01,20
